index,law_description,law_title,country-region
44,No targeted advertising or algorithmic recommendations may be shown to minors.,Utah Social Media Regulation Act (SB 152/HB 311),United States (UT)
45,"Without parental consent, minors cannot access services between 10:30 p.m. and 6:30 a.m.",Utah Social Media Regulation Act (SB 152/HB 311),United States (UT)
46,Platforms must not expose minors to “addictive” features; must conduct quarterly audits.,Utah Social Media Regulation Act (SB 152/HB 311),United States (UT)
47,Platforms may be sued for harms from addictive features; presumption of harm applies if plaintiff is 16 or younger.,Utah Social Media Regulation Act (SB 152/HB 311),United States (UT)
48,"Violations can incur fines of $2,500 per violation (SB 152); addiction‑related liabilities up to $250,000 plus $2,500 per‑user.",Utah Social Media Regulation Act (SB 152/HB 311),United States (UT)
49,"Upon actual knowledge of apparent child sexual exploitation offenses, providers must report to NCMEC CyberTipline as soon as reasonably possible and provide provider contact info.",18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
50,Providers may report facts indicating planned or imminent violations related to child sexual exploitation to the CyberTipline.,18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
51,"Reports may include identity information (e.g., email, IP, URL, payment info excluding PII) of involved individuals.",18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
52,"Reports may include historical reference (timestamps, when/how content was uploaded/reported) and transmission data.",18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
53,"Reports may include geographic location information (e.g., IP‑based or verified address) if available.",18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
54,Reports may include visual depictions of apparent child sexual abuse material and the complete communication (including attachments).,18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
55,Submitting a report constitutes a request to preserve the reported materials for 1 year; providers must preserve commingled content as context.,18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
56,Providers must secure preserved materials and limit employee access to what’s necessary for compliance.,18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
57,"Within 1 year of enactment, preservation must align with NIST Cybersecurity Framework guidance.",18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
58,"Providers are not required to proactively monitor, search, or scan user content to find reportable material.",18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
59,"Failure to make required reports can result in fines up to $850k–$1M (large providers) or $600k–$850k (smaller providers), escalating for repeat violations.",18 U.S.C. § 2258A – Reporting requirements of providers,United States (Federal)
